acad,title,author,source,pyear,tc,ac,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
caowenxuan,Conservation strategies for endemic fish species threatened by the Three Gorges Dam,"Park, YS; Chang, JB; Lek, S; Cao, WX; Brosse, S",CONSERVATION BIOLOGY,2003,95,7.92 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,12,10,5,12,10,14,11,9,4
caowenxuan,"Ontogenetic behavior and migration of Chinese sturgeon, Acipenser sinensis","Zhuang, P; Kynard, B; Zhang, LZ; Zhang, T; Cao, WX",ENVIRONMENTAL BIOLOGY OF FISHES,2002,21,1.62 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,2,0,3,0,2,1,1,3,4,0
caowenxuan,"Comparative ontogenetic behavior and migration of kaluga, Huso dauricus, and Amur sturgeon, Acipenser schrenckii, from the Amur River","Zhuang, P; Kynard, B; Zhang, LZ; Zhang, T; Cao, WX",ENVIRONMENTAL BIOLOGY OF FISHES,2003,14,1.17 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4,1,0,0,1,2,4,0
caowenxuan,The uplift of Qinghai-Xizang (Tibet) Plateau and the vicariance speciation of glyptosternoid fishes (Siluriformes : Sisoridae),"He, SP; Cao, WX; Chen, YY",SCIENCE IN CHINA SERIES C-LIFE SCIENCES,2001,13,0.93 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,3,3,2,2,0
caowenxuan,STRUCTURE OF ENDEMIC FISH ASSEMBLAGES IN THE UPPER YANGTZE RIVER BASIN,"He, Yongfeng; Wang, Jianwei; Lek, Sovan; Cao, Wenxuan; Lek-Ang, Sithan",RIVER RESEARCH AND APPLICATIONS,2011,10,2.50 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,3,0
caowenxuan,"Community structure of small fishes in a shallow macrophytic lake (Niushan Lake) along the middle reach of the Yangtze River, China","Ye, Shaowen; Li, Zhongjie; Lek-Ang, Sithan; Feng, Guangpeng; Lek, Sovan; Cao, Wenxuan",AQUATIC LIVING RESOURCES,2006,10,1.11 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,3,1
caowenxuan,"Morphological variability between wild populations and inbred stocks of a Chinese minnow, Gobiocypris rarus","Shao, Yan; Wang, Jianwei; Qiao, Ye; He, Yongfeng; Cao, Wenxuan",ZOOLOGICAL SCIENCE,2007,3,0.38 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0
caowenxuan,"Actinomycetes and earthy-musty odorous compounds in brackish fishponds in Tianjin, China","Pan, Yong; Xu, Lipu; Cao, Wenxuan; Yin, Shouren; Wang, Zongwei; Zhou, Qiaohong",WATER SCIENCE AND TECHNOLOGY,2009,2,0.33 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
caowenxuan,The identification of apolipoprotein C-I in rare minnow (Gobiocypris rarus) and its expression following cadmium exposure,"Wang, Chunling; Zhang, Futie; Cao, Wenxuan; Wang, Jianwei",ENVIRONMENTAL TOXICOLOGY AND PHARMACOLOGY,2013,1,0.50 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
caowenxuan,"Seasonal Variation in Drifting Eggs and Larvae in the Upper Yangtze, China","Jiang, Wei; Liu, Huan-Zhang; Duan, Zhong-Hua; Cao, Wen-Xuan",ZOOLOGICAL SCIENCE,2010,1,0.20 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
